id,code,name,region
52276,52010083,青岛思达心脏医院,山东
52277,52010440,深圳市儿童医院,广东
52278,52009855,昆山市第二人民医院,江苏
52279,52009856,中国医科大学附属第一医院,辽宁
52280,52009910,上海市监狱总医院,上海
52281,52009857,东莞市石碣医院,广东
52282,52010076,黑龙江省医院,黑龙江
52283,52010038,陕西省核工业二一五医院,陕西
52284,52009918,天水市第一人民医院,甘肃
52285,52010074,福建省龙岩市第一医院,福建
52286,52010133,新乡市中心医院,河南
52287,52009885,上海市闵行区中西医结合医院,上海
52288,52010340,重庆医科大学附属第二医院,重庆
52289,52010342,成都中医药大学附属医院,四川
52290,52010341,重庆大学附属三峡医院百安分院,重庆
52291,52010176,嘉兴市第二医院,浙江
52292,52010338,徐州市妇幼保健院,江苏
52293,52010367,大连医科大学附属第二医院,辽宁
52294,52010357,襄阳市中心医院,湖北
52295,52010446,西电集团医院,陕西
52296,52010585,重庆大学附属三峡医院,重庆
52297,52010638,株洲市第三医院,湖南
52298,52010548,安阳市人民医院,河南
52299,52010580,深圳市龙华区人民医院,广东
52300,52010757,海宁市人民医院,浙江
52301,52010553,黄浦区老西门街道社区卫生服务中心,上海
52302,52014748,南昌市劳动医院,江西
52303,52010579,丰城市人民医院,江西
52304,52010591,东阳市人民医院,浙江
52305,52010754,晋中市第一人民医院,山西
52306,52010547,承德市中心医院,河北
52307,52010551,象山县中医医院,浙江
52308,52022050,安徽省生物医学研究所安庆研究中心,安徽
52309,52009806,上海市浦东新区人民医院,上海
52310,52022067,新疆生产建设兵团农七师医院,新疆
52311,52022069,陆军军医大学第二附属医院,重庆
52312,52022131,北京市丰台区铁营医院,北京
52313,52022184,中国人民解放军总医院第八医学中心,北京
52314,52022217,辽宁省健康产业集团本钢总医院,辽宁
52315,52009611,巴州人民医院,新疆
52316,52022215,北京瑞妍茗医门诊部有限公司,北京
52317,52022137,北京市体育大学,北京
52318,52022171,北京口腔医院,北京
52319,52022191,北京大学首钢医院,北京
52320,52022213,北京普仁医院,北京
52321,52022198,北京大学第一医院,北京
52322,52010000,常熟市第五人民医院,江苏
52323,52010134,上海市杨浦区市东医院,上海
52324,52010542,威海市中心医院,山东
52325,52022117,北京老年医院,北京
52326,52022157,北京市隆福医院（北京市东城区老年病医院）,北京
52327,52009999,中南大学职工医院铁道分院,湖南
52328,52010552,奉贤区中心医院,上海
52329,52010544,广东医科大学附属东莞第一医院,广东
52330,52010439,首都医科大学附属北京同仁医院亦庄分院,北京
52331,52010543,青岛市妇女儿童医院,山东
52332,52010402,深圳市慢性病防治中心,广东
52333,52010084,莱西市人民医院,山东
52334,52010355,苏州市动物实验研究中心,江苏
52335,52010447,中国海员广州疗养院,广东
